PhoneSat-2.5,NASA Ames,Agency,US,1U,04/18/14,Falcon 9,"325 km, 51.6 degree inclination",Space Technology
SporeSat,"NASA Ames, Purdue University, Santa Clara University",University,US,3U,04/18/14,Falcon 9,"325 km, 51.6 degree inclination",Space Science
"TSAT (TSat3, Testsat-Lite, Taylor Satellite)",Taylor University,University,US,2U,04/18/14,Falcon 9,"325 km, 51.6 degree inclination",Space Technology
SPROUT,Nihon University,University,Japan,6.7 kg,05/24/14,H-2A,"628 km, 97.9 degree inclination",Space Technology
AeroCube-6A,The Aerospace Corporation,Non-profit,US,0.5U,06/19/14,Dnepr,"610 km, 97.99 degree inclination",Space Technology
AeroCube-6B,The Aerospace Corporation,Non-profit,US,0.5U,06/19/14,Dnepr,"610 km, 97.99 degree inclination",Space Technology
Antelsat,University of the Republic,University,Uruguay,2U,06/19/14,Dnepr,"610 km, 97.99 degree inclination",Space Technology
"BRITE-CA 1 (BRITE-Montreal, CanX-3E)",Canadian Space Agency (CSA),Agency,Canada,10 kg,06/19/14,Dnepr,"610 km, 97.99 degree inclination",Space Science
"BRITE-CA 2 (BRITE-Toronto, CanX-3F)",Canadian Space Agency (CSA),Agency,Canada,10 kg,06/19/14,Dnepr,"610 km, 97.99 degree inclination",Space Science
DTUSat-2,Technical University of Denmark,University,Denmark,1U,06/19/14,Dnepr,"610 km, 97.99 degree inclination",Space Technology
Duchifat-1,Herzliya Science Centre,School,Israel,1U,06/19/14,Dnepr,"610 km, 97.99 degree inclination",Space Technology
Flock-1c Dove-1,Planet Labs,Company,US,3U,06/19/14,Dnepr,"610 km, 97.99 degree inclination",Space Activity
Flock-1c Dove-10,Planet Labs,Company,US,3U,06/19/14,Dnepr,"610 km, 97.99 degree inclination",Space Activity
Flock-1c Dove-11,Planet Labs,Company,US,3U,06/19/14,Dnepr,"610 km, 97.99 degree inclination",Space Activity
Flock-1c Dove-2,Planet Labs,Company,US,3U,06/19/14,Dnepr,"610 km, 97.99 degree inclination",Space Activity
Flock-1c Dove-3,Planet Labs,Company,US,3U,06/19/14,Dnepr,"610 km, 97.99 degree inclination",Space Activity
Flock-1c Dove-4,Planet Labs,Company,US,3U,06/19/14,Dnepr,"610 km, 97.99 degree inclination",Space Activity
Flock-1c Dove-5,Planet Labs,Company,US,3U,06/19/14,Dnepr,"610 km, 97.99 degree inclination",Space Activity
Flock-1c Dove-6,Planet Labs,Company,US,3U,06/19/14,Dnepr,"610 km, 97.99 degree inclination",Space Activity
Flock-1c Dove-7,Planet Labs,Company,US,3U,06/19/14,Dnepr,"610 km, 97.99 degree inclination",Space Activity
Flock-1c Dove-8,Planet Labs,Company,US,3U,06/19/14,Dnepr,"610 km, 97.99 degree inclination",Space Activity
Flock-1c Dove-9,Planet Labs,Company,US,3U,06/19/14,Dnepr,"610 km, 97.99 degree inclination",Space Activity
Lemur-1,Spire (Nanosatisfi),Company,US,3U,06/19/14,Dnepr,"610 km, 97.99 degree inclination",Space Technology
PACE (Platform for Attitude Control Experiments),National Cheng Kung University,University,Taiwan,2U,06/19/14,Dnepr,"610 km, 97.99 degree inclination",Space Technology
Perseus-M 1,Dauria / Aquila Space,Company,Russia,6U,06/19/14,Dnepr,"610 km, 97.99 degree inclination",Space Activity
Perseus-M 2,Dauria / Aquila Space,Company,Russia,6U,06/19/14,Dnepr,"610 km, 97.99 degree inclination",Space Activity
PolyITAN-1,National Technical University of Ukraine,University,Ukraine,1U,06/19/14,Dnepr,"610 km, 97.99 degree inclination",Space Technology
POPSAT-HIP 1,Microspace Rapid Pte Ltd.,Company,Singapore,3U,06/19/14,Dnepr,"610 km, 97.99 degree inclination",Space Technology
QB50P1,Von Karman Institute,Institute,Belgium,2U,06/19/14,Dnepr,"610 km, 97.99 degree inclination",Space Technology
QB50P2,Von Karman Institute,Institute,Belgium,2U,06/19/14,Dnepr,"610 km, 97.99 degree inclination",Space Technology
Tigrisat,School of Aerospace Engineering of Rome,University,"Italy, Iraq",3U,06/19/14,Dnepr,"610 km, 97.99 degree inclination",Space Technology
NANOSATC-BR1,Southern Regional Space Research Center (CRS),Institute,Brazil,1U,06/19/14,Dnepr,"610 km, 97.99 degree inclination",Space Technology
CanX-4,University of Toronto Institute for Aerospace Studies,University,Canada,7 kg,06/30/14,PSLV,"660 km, 98.2 degree inclination",Space Technology
CanX-5,University of Toronto Institute for Aerospace Studies,University,Canada,7 kg,06/30/14,PSLV,"660 km, 98.2 degree inclination",Space Technology
VELOX PIII,Nanyang Technological University,University,Singapore,0.193 kg,06/30/14,PSLV,"660 km, 98.2 degree inclination",Space Technology
VELOX-I N-Sat,Nanyang Technological University,University,Singapore,3U,06/30/14,PSLV,"660 km, 98.2 degree inclination",Space Technology
AISSat-2,Norwegian Space Centre,Agency,Norway,6 kg,07/08/14,Sojuz-2 1b,"635 km, 98.8 degree inclination",Space Activity
UKube-1 (United Kingdom Universal Bus Experiment 1),United Kingdom Space Agency,Agency,UK,3U,07/08/14,Sojuz-2 1b,"635 km, 98.8 degree inclination",Space Technology
Flock-1b Dove-12,Planet Labs,Company,US,3U,07/13/14,Antares,ISS,Space Activity
Flock-1b Dove-13,Planet Labs,Company,US,3U,07/13/14,Antares,ISS,Space Activity
Flock-1b Dove-14,Planet Labs,Company,US,3U,07/13/14,Antares,ISS,Space Activity
Flock-1b Dove-15,Planet Labs,Company,US,3U,07/13/14,Antares,ISS,Space Activity
Flock-1b Dove-16,Planet Labs,Company,US,3U,07/13/14,Antares,ISS,Space Activity
Flock-1b Dove-17,Planet Labs,Company,US,3U,07/13/14,Antares,ISS,Space Activity
Flock-1b Dove-18,Planet Labs,Company,US,3U,07/13/14,Antares,ISS,Space Activity
Flock-1b Dove-19,Planet Labs,Company,US,3U,07/13/14,Antares,ISS,Space Activity
Flock-1b Dove-2,Planet Labs,Company,US,3U,07/13/14,Antares,ISS,Space Activity
