,Mission_Name,Organization,Organization_Type,Nation,Sat_Type,Launch_Year,Rocket,Orbit,Mission_Type,region,Year
104,Jugnu,Indian Institute of Technology Kanpur,University,India,3U,10-12-11,PSLV,"860 km, 20 degree inclination",Space Technology,Asia,2011
105,SRMSat (Sri Ramaswamy Memorial),SRM University,University,India,10 kg,10-12-11,PSLV,"860 km, 20 degree inclination",Space Science,Asia,2011
106,AubieSat-1,Aubum University,University,US,1U,10-28-11,Delta II,"820 x 410 km, 102 degree inclination",Space Science,North America,2011
107,DICE-1 (Dynamic Ionosphere CubeSat Experiment),Utah State University,University,US,1.5U,10-28-11,Delta II,"820 x 410 km, 102 degree inclination",Space Science,North America,2011
108,DICE-2 (Dynamic Ionosphere CubeSat Experiment),Utah State University,University,US,1.5U,10-28-11,Delta II,"820 x 410 km, 102 degree inclination",Space Science,North America,2011
109,"E1P U2 (HRBE , Explorer-1' U2, William A. Hiscock Radiation Belt Explorer)",Montana State University,University,US,1U,10-28-11,Delta II,"820 x 410 km, 102 degree inclination",Space Technology,North America,2011
110,M-Cubed (COVE),University of Michigan,University,US,1U,10-28-11,Delta II,"820 x 410 km, 102 degree inclination",Space Technology,North America,2011
111,RAX-2 (Radio Aurora Explorer-2),University of Michigan,University,US,3U,10-28-11,Delta II,"820 x 410 km, 102 degree inclination",Space Science,North America,2011
112,MaSat-1,Budapest University of Technology and Economics,University,Hungary,1U,02-13-12,Vega,"354 x 1450 km, 69.5 degree inclination",Space Technology,Europe,2012
113,PW-Sat,Warsaw University of Technology,University,Poland,1U,02-13-12,Vega,"354 x 1450 km, 69.5 degree inclination",Space Technology,Europe,2012
114,ROBUSTA-1A,University of Montpellier II,University,France,1U,02-13-12,Vega,"354 x 1450 km, 69.5 degree inclination",Space Technology,Europe,2012
115,UNICubeSat-GG (Gravity Gradient),Sapienza University of Rome,University,Italy,1U,02-13-12,Vega,"354 x 1450 km, 69.5 degree inclination",Space Technology,Europe,2012
116,Xatcobeo (Dieste),University of Vigo,University,Spain,1U,02-13-12,Vega,"354 x 1450 km, 69.5 degree inclination",Space Technology,Europe,2012
117,e-st@r,Polytechnic University of Turin,University,Italy,1U,02-13-12,Vega,"354 x 1450 km, 69.5 degree inclination",Space Technology,Europe,2012
118,Goliat,University of Bucharest,University,Romania,1U,02-13-12,Vega,"354 x 1450 km, 69.5 degree inclination",Space Technology,Europe,2012
119,HORYU-2,Kyushu Institute of Technology,University,Japan,7.1 kg,05-17-12,H-IIA,"680 km, 98.19 degree inclination",Space Technology,Asia,2012
120,F-1,FPT University,University,Vietnam,1U,07-21-12,H-IIB,ISS,Space Technology,Asia,2012
121,FITSat-1 (NIWAKA),Fukuoka Institute of Technology,University,Japan,1U,07-21-12,H-IIB,ISS,Space Technology,Asia,2012
122,RAIKO,Tohoku University,University,Japan,2U,07-21-12,H-IIB,ISS,Space Technology,Asia,2012
123,TechEdSat (Technological and Educational Nanosatellite),NASA Ames Research Center,Agency,US,1U,07-21-12,H-IIB,ISS,Space Technology,North America,2012
124,We Wish,Meisei Electric,Company,Japan,1U,07-21-12,H-IIB,ISS,Space Technology,Asia,2012
125,TT 1 (TianTuo 1),National University of Defense Technology,University,China,9.3 kg,09-08-12,Long March 4B,"479 x 495 km, 97.4 degree inclination",Space Technology,Asia,2012
126,AENEAS,University of Southern California,University,US,3U,09-13-12,Atlas V,"770 x 480 km, 66 degree inclination",Space Technology,North America,2012
127,AeroCube-4A,The Aerospace Corporation,Non-profit,US,1U,09-13-12,Atlas V,"770 x 480 km, 66 degree inclination",Space Technology,North America,2012
128,AeroCube-4B,The Aerospace Corporation,Non-profit,US,1U,09-13-12,Atlas V,"770 x 480 km, 66 degree inclination",Space Technology,North America,2012
129,AeroCube-4C,The Aerospace Corporation,Non-profit,US,1U,09-13-12,Atlas V,"770 x 480 km, 66 degree inclination",Space Technology,North America,2012
130,"CINEMA (CubeSat for Ions, Neutrals, Electrons, & MAgnetic fields)",University of California,University,US,3U,09-13-12,Atlas V,"770 x 480 km, 66 degree inclination",Space Science,North America,2012
131,CP5,California Polytechnic University,University,US,1U,09-13-12,Atlas V,"770 x 480 km, 66 degree inclination",Space Technology,North America,2012
132,CSSWE (Colorado Student Space Weather Experiment),University of Colorado,University,US,3U,09-13-12,Atlas V,"770 x 480 km, 66 degree inclination",Space Science,North America,2012
133,CXBN (Cosmic X-ray Background Nanosatellite),Morehead State University/Kentucky Space,University,US,2U,09-13-12,Atlas V,"770 x 480 km, 66 degree inclination",Space Science,North America,2012
134,"Re (STARE A, Space-based Telescopes for the Actionable Refinement of Ephemeris)",Lawrence Livermore National Laboratory,Institute,US,3U,09-13-12,Atlas V,"770 x 480 km, 66 degree inclination",Space Technology,North America,2012
